year,pbr,NEgillest1y,.,totalest1y,totalcv1y,NEgill1yLCI,NEgill1yUCI,total1yLCI,total1yUCI,NEgillest5y,NEgillcv5y,totalest5y,totalcv5y,NEgill5yLCI,NEgill5yUCI,total5yLCI,total5yUCI
1990,NA,2900,0.32,2901.7,0.319816292,1572.622728,5347.754328,1574.071448,5349.098291,NA,NA,NA,NA,NA,NA,NA,NA
1991,NA,2000,0.35,2000.7,0.349877718,1027.244024,3893.91411,1027.829492,3894.42074,NA,NA,NA,NA,NA,NA,NA,NA
1992,NA,1200,0.21,1200.4,0.209930288,798.6453053,1803.053233,799.0172141,1803.415664,NA,NA,NA,NA,NA,NA,NA,NA
1993,403,1400,0.18,1401.5,0.179807717,986.5781506,1986.664715,987.9986936,1988.061586,NA,NA,NA,NA,NA,NA,NA,NA
1994,403,2100,0.18,2100,0.18,1479.867226,2979.997072,1479.867226,2979.997072,1920,0.132626545,1920.86,0.132568033,1482.180418,2487.146609,1483.012168,2487.979007
1995,483,1400,0.27,1503,0.254512424,832.4046001,2354.624181,919.8308181,2455.896188,1620,0.117301883,1641.12,0.116013194,1288.274478,2037.143516,1308.336931,2058.548369
1996,483,1185,0.25,1496,0.208250572,731.3662749,1920.002396,998.9561284,2240.354643,1457,0.097115794,1540.18,0.093032916,1205.003649,1761.69508,1283.96229,1847.52656
1997,483,782,0.22,1354,0.194952386,510.6822647,1197.46473,927.2993867,1977.048649,1373.4,0.099476629,1570.9,0.091760503,1130.656657,1668.258484,1312.821034,1879.713035
1998,483,332,0.46,778,0.284822325,140.6749561,783.5367648,450.0392535,1344.958235,1159.8,0.112611461,1446.2,0.098281273,930.7432134,1445.227879,1193.361854,1752.607085
1999,747,154,0.42,207,0.341686515,69.89301501,339.3186,107.9237993,397.0301293,770.6,0.139222912,1067.6,0.113515948,587.3413135,1011.037954,855.2493157,1332.675442
2000,747,507,0.37,528,0.356567628,251.2522265,1023.071531,268.0141429,1040.183913,592,0.143355838,872.6,0.11603208,447.6277908,782.9361965,695.6304043,1094.590971
2001,747,53,0.97,79,0.721971666,10.7425475,261.4836007,22.19706829,281.1632563,365.6,0.168555554,589.2,0.136826028,263.3510868,507.5481618,451.1654724,769.4663295
2002,747,444,0.37,444,0.37,220.0315356,895.9442993,220.0315356,895.9442993,298,0.20392948,407.2,0.169994459,200.6302234,442.6252362,292.5078715,566.8628306
2003,747,592,0.33,668,0.319465792,315.2478209,1111.709508,362.5983324,1230.628936,350,0.18706755,385.2,0.177011471,243.3341769,503.4229122,273.0074383,543.4981586
2004,747,655,0.36,790,0.336560742,330.4423076,1298.335565,415.7152548,1501.267978,450.2,0.176913014,501.8,0.16999652,319.1358435,635.090179,360.4613691,698.5581857
2005,610,630,0.23,1107.18,0.252997907,403.7213237,983.1038805,679.512611,1804.01001,474.8,0.160064119,617.636,0.15357849,347.635931,648.4802631,457.896684,833.1010942
2006,610,514,0.31,1032.48,0.221376663,283.8703934,930.6923375,672.5039765,1585.14297,567,0.144207407,808.332,0.129496958,428.0204998,751.1065478,627.797709,1040.782107
2007,703,395,0.38,459.59,0.352875174,192.3021549,811.3533623,234.8393667,899.4359466,557.2,0.144773544,811.45,0.12883768,420.1633123,738.9313414,631.0241491,1043.46419
2008,703,666,0.48,1021.56,0.404945241,272.8246634,1625.791431,475.9626577,2192.577121,572,0.166483582,882.162,0.143177757,413.6684683,790.9328969,667.2567455,1166.282393
2009,703,591,0.23,792,0.22122375,378.7290513,922.2450689,516.0169546,1215.587966,559.2,0.15572836,882.562,0.135747508,412.8613428,757.408378,677.2106853,1150.182212
2010,706,387,0.27,644,0.38685016,230.1004144,650.8853987,309.7490712,1338.941868,510.6,0.165956059,789.926,0.148161015,369.6384577,705.3171945,591.7735127,1054.428886
2011,706,324,0.2,452.88,0.181542824,219.7714045,477.6599588,318.2032494,644.5575108,472.6,0.16838502,674.006,0.161700249,340.5373806,655.8773653,491.9392249,923.4557136
2012,706,277.3,0.59,340.71,0.504428683,95.00397844,809.3902094,134.0003032,866.2913542,449.06,0.179567644,650.23,0.168523561,316.7139426,636.7098395,468.4061592,902.6334188
2013,706,399,0.33,425.18,0.313719139,212.4727712,749.2771855,233.2257046,775.1205329,395.66,0.140900943,530.954,0.144349609,300.5910184,520.7967838,400.6998875,703.5493618
2014,706,128,0.27,155.5,0.267499543,76.10556344,215.2799252,92.88743411,260.3177732,303.06,0.162209678,403.654,0.170118418,220.979006,415.6293635,289.8916892,562.0600995
2015,706,177,0.28,213.71,0.293148085,103.3046192,303.2681427,121.7367261,375.1699717,261.06,0.174621856,317.596,0.153922596,185.8731679,366.6603651,235.3000947,428.6747922
2016,706,125,0.34,148,0.303898489,65.37010792,239.0236225,82.65592314,265.0021822,221.26,0.20123219,256.62,0.182788908,149.7306779,326.9603017,179.8775367,366.1036593
2017,851,136,0.28,145,0.269158984,79.37530063,233.0195899,86.34827965,243.4906646,193,0.161351884,217.478,0.151092512,140.9599895,264.2522899,162.0056721,291.9445959
2018,851,92,0.52,92,0.52,35.26686322,239.9986624,35.26686322,239.9986624,131.6,0.145735007,150.842,0.142123369,99.05062484,174.8455401,114.3275653,199.0185735
2019,851,195,0.23,208,0.217877725,124.9613621,304.2940583,136.3802824,317.2306086,145,0.138018718,161.342,0.134731839,110.7745614,189.7998939,124.0448922,209.8533886
2020,851,121,NA,140.59,0.016087204,NA,NA,136.2265832,145.0931796,133.8,0.162422033,146.718,0.1211117,97.52169512,183.5739215,115.8158482,185.8655086
2021,649,111,NA,126,0.036507937,NA,NA,117.3019631,135.3430035,131,0.19295309,142.318,0.107869318,90.05917596,190.5524875,115.267461,175.7166588
